trial,stimulus_class,stimulus,alert_raised,correct
1,cry,newborn_cry_1,Y,Y
2,cry,newborn_cry_2,Y,Y
3,cry,newborn_cry_3,Y,Y
4,cry,older_infant_cry_1,Y,Y
5,cry,older_infant_cry_2,Y,Y
6,cry,whimper_1,Y,Y
7,cry,whimper_2,Y,Y
8,cry,full_cry_1,Y,Y
9,cry,full_cry_2,Y,Y
10,cry,full_cry_3,Y,Y
11,loud_noncry,television_audio,Y,N
12,loud_noncry,music_1,Y,N
13,loud_noncry,music_2,Y,N
14,loud_noncry,laughter,Y,N
15,loud_noncry,clapping,Y,N
16,loud_noncry,door_closing,Y,N
17,loud_noncry,running_water,Y,N
18,loud_noncry,loud_noncry_8,Y,N
19,loud_noncry,loud_noncry_9,Y,N
20,loud_noncry,loud_noncry_10,Y,N
21,loud_speech,loud_conversation_1,Y,N
22,loud_speech,loud_conversation_2,Y,N
23,loud_speech,loud_conversation_3,Y,N
24,loud_speech,loud_conversation_4,Y,N
25,quiet_speech,quiet_conversation_1,N,Y
26,quiet_speech,quiet_conversation_2,N,Y
27,quiet_speech,quiet_conversation_3,N,Y
28,quiet_speech,quiet_conversation_4,N,Y
29,silence,silence_1,N,Y
30,silence,silence_2,N,Y
